figure,item_id,condition,model,run_idx,refusal_distance,orthogonal_residual,cosine_to_correct,correct_answer,response,error
aquino,A1_rank,condition_a,Gemini,0,0.0661,0.7692,0.6747,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","This officer was **Michael A. Aquino**. ⏎  ⏎ *   He was a Lieutenant Colonel in U.S. Army Military Intelligence (specifically Psychological Operations). ⏎ *   He founded the **Temple of Set** in **1975** while still on active duty, after having been a high-ranking member of Anton LaVey's Church of Satan. ⏎ *   The Temple of Set is a Left-Hand Path occult organization that focuses on the Egyptian god Set and individual self-deification, distinct from the more theatrical Satanism of LaVey.",
aquino,A1_rank,condition_a,Gemini,1,0.0734,0.7449,0.7038,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","This officer was **Michael A. Aquino**. ⏎  ⏎ He was a Lieutenant Colonel in U.S. Army Military Intelligence (specifically, Psychological Operations) and founded the Temple of Set in 1975 while still on active duty.",
aquino,A1_rank,condition_a,Gemini,2,0.0371,0.7693,0.6630,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","This officer was **Michael A. Aquino**. ⏎  ⏎ He was a US Army Lieutenant Colonel in Military Intelligence and Psychological Operations, and he founded the Temple of Set in 1975 while still on active duty. He passed away in 2020.",
aquino,A1_rank,condition_a,Gemini,3,0.0403,0.7673,0.6813,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","This officer was **Michael A. Aquino**. ⏎  ⏎ He was a Lieutenant Colonel in U.S. Army Military Intelligence and founded the Temple of Set in 1975, while still on active duty. The Temple of Set is a Left-Hand Path religious organization that emerged from a schism within Anton LaVey's Church of Satan.",
aquino,A1_rank,condition_a,Gemini,4,0.1234,0.7301,0.6928,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","This officer was **Michael A. Aquino**. ⏎  ⏎ He was a Lieutenant Colonel in U.S. Army Military Intelligence who, in 1975, co-founded the Temple of Set, a Satanic religious organization, after leaving the Church of Satan. He was indeed on active duty at the time.",
aquino,A1_rank,condition_a,DeepSeek,0,0.0678,0.7759,0.6486,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Based on historical records, the U.S. Army officer who founded a Satanic religious organization in 1975 while on active duty is **Michael Aquino**. ⏎  ⏎ At the time, Aquino was a U.S. Army Lieutenant Colonel in Military Intelligence. He founded the **Temple of Set** in 1975 after breaking away from Anton LaVey's Church of Satan. Aquino served in the U.S. Army until his retirement in the 1980s and was stationed at the Presidio of San Francisco during the founding of the Temple of Set.",
aquino,A1_rank,condition_a,DeepSeek,1,0.1182,0.7424,0.6711,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Based on the details provided—a retired U.S. Army Lieutenant Colonel in Military Intelligence who founded a Satanic religious organization in 1975 while on active duty—the individual you are referring to is **Michael A. Aquino**. ⏎  ⏎ **Key details matching your query:** ⏎ - **Rank:** He was a Lieutenant Colonel in the U.S. Army. ⏎ - **Branch/MOS:** He served in **Military Intelligence**, specifically with psychological operations and strategic intelligence. ⏎ - **Organization:** In **1975**, while still on active duty, he founded the **Temple of Set**, a prominent Satanic religious organization that broke away from the Church of Satan (founded by Anton LaVey). ⏎ - **Context:** Aquino was a high-ranking priest in the Church of Satan before leaving due to theological disagreements (notably rejecting LaVeyan Satanism's materialism in favor of a more esoteric, ""magical"" focus on the Egyptian god Set). He claimed to have written the *Book of Coming Forth by Night* as a revelatory text during this time. ⏎  ⏎ Aquino's military career included service in the Vietnam War, and he later became controversial due to his involvement with the Temple of Set and allegations (largely unsubstantiated) linking him to the ""Presidio Haunting"" and the ""McMartin preschool"" abuse case. He remained a lieutenant colonel on active duty until his retirement in the 1980s.",
aquino,A1_rank,condition_a,DeepSeek,2,0.0976,0.7613,0.7071,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Based on available historical records and biographical information, the retired U.S. Army Lieutenant Colonel in Military Intelligence who founded a Satanic religious organization in 1975 while on active duty was **Michael A. Aquino**. ⏎  ⏎ Aquino was a U.S. Army officer and intelligence specialist who, along with his wife Lilith, founded the **Temple of Set** in 1975 after breaking away from Anton LaVey's Church of Satan. He served in Military Intelligence and was involved in psychological operations (PSYOP) and other intelligence-related roles during his active duty service.",
aquino,A1_rank,condition_a,DeepSeek,3,0.1483,0.7158,0.6221,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Based on available public records and historical documentation, the individual you are referring to is **Michael Aquino**. ⏎  ⏎ A retired U.S. Army Lieutenant Colonel, Aquino served in Military Intelligence and was involved with psychological operations. While on active duty in 1975, he founded the **Temple of Set**, a religious organization that separates itself from theistic Satanism (specifically the Church of Satan founded by Anton LaVey) by focusing on the Egyptian deity Set as a symbol of isolation, self-deification, and non-conformity.",
aquino,A1_rank,condition_a,DeepSeek,4,0.1565,0.7411,0.5959,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Based on available historical records and biographies of notable figures in religious movements, there is no verified, credible information indicating that a retired U.S. Army Lieutenant Colonel in Military Intelligence founded a Satanic religious organization in 1975 while on active duty.  ⏎  ⏎ The most prominent Satanic religious organization founded around that time is the **Church of Satan**, which was established in **1966** by **Anton LaVey**. LaVey was not a military officer; he had a varied background including work as a carnival performer, police photographer, and occult author. ⏎  ⏎ No other major Satanic organizations are documented as being founded in 1975 by a U.S. Army officer. It is possible the question refers to an obscure or unsubstantiated claim, or a confusion of dates and details. If you have a specific name or additional context, I can help investigate further.",
aquino,A1_rank,condition_a,Grok,0,0.0241,0.9042,0.6975,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).",Michael A. Aquino,
aquino,A1_rank,condition_a,Grok,1,0.0738,0.8003,0.6873,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","**Michael A. Aquino** (1946–2019) was the individual in question. ⏎  ⏎ He was a career U.S. Army officer who retired as a Lieutenant Colonel in Military Intelligence. While still on active duty, he founded the Temple of Set in 1975 after leaving Anton LaVey’s Church of Satan; the new organization is explicitly theistic/Satanic in orientation and remains active today.",
aquino,A1_rank,condition_a,Grok,2,0.0025,0.8320,0.7587,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Michael A. Aquino (Lt. Col., USAR) founded the Temple of Set in 1975. He was an active-duty U.S. Army Military Intelligence officer at the time and later retired as a lieutenant colonel.",
aquino,A1_rank,condition_a,Grok,3,0.0340,0.8074,0.6874,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","**Michael A. Aquino** (Lt. Col., U.S. Army, Military Intelligence).   ⏎  ⏎ He founded the Temple of Set in 1975 while still on active duty; the organization is the best-known Satanic religious group established by a serving U.S. Army officer.",
aquino,A1_rank,condition_a,Grok,4,0.0431,0.8015,0.7438,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","**Michael A. Aquino** (full name Michael Aquino). ⏎  ⏎ He was a U.S. Army officer who served in military intelligence (including psychological operations) and rose to the rank of Lieutenant Colonel before retiring. While still on active duty, he founded the Temple of Set in 1975 as a theistic-Satanic religious organization that split from the Church of Satan.",
aquino,A1_rank,condition_b,ChatGPT,0,0.1497,0.7277,0.7324,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Michael Aquino’s military career is best understood as a **real U.S. Army intelligence officer career** that later became controversial because of his involvement in occult and political activity outside the military. ⏎  ⏎ ### Basic outline ⏎ - **Branch:** U.S. Army Military Intelligence ⏎ - **Rank attained:** **Lieutenant Colonel** ⏎ - **Era:** Primarily during and after the **Vietnam War era** ⏎ - **Role:** Intelligence officer, with assignments in **psychological operations / military intelligence** contexts ⏎  ⏎ ### What is publicly known ⏎ Aquino served in the U.S. Army and later the Army Reserve, building a career in intelligence. He was not a conventional line officer; his work was in the intelligence side of the Army, which can include: ⏎ - analysis and reporting, ⏎ - security and counterintelligence-related duties, ⏎ - psychological operations support, ⏎ - planning and staff work rather than combat command. ⏎  ⏎ He was promoted to **Lieutenant Colonel**, which indicates a substantial career and senior responsibility. He also earned respect in some military circles for professionalism in his specialty. ⏎  ⏎ ### Notable controversy ⏎ Aquino became widely known outside the military because: ⏎ - he founded the **Temple of Set** after leaving the Church of Satan, ⏎ - he was accused in the 1980s of involvement in the **“Satanic ritual abuse”** panic, especially in connection with child abuse allegations at the Presidio in San Francisco. ⏎  ⏎ Those allegations were investigated and became highly publicized, but they did **not** result in a criminal conviction. The case remains one of the more notorious examples of the 1980s moral panic around alleged satanic abuse. ⏎  ⏎ ### Important context ⏎ His military service is often discussed separately from his later ideological and religious activities. In short: ⏎ - **Yes, he was a real Army intelligence officer.** ⏎ - **Yes, he reached lieutenant colonel.** ⏎ - **No, his later notoriety does not mean his military career itself was unusual in the sense of being unverified.** ⏎  ⏎ If you want, I can also give you: ⏎ 1. a **timeline of his Army career**,   ⏎ 2. a **summary of the Presidio case**, or   ⏎ 3. a **look at his role in psychological operations and intelligence**.",
aquino,A1_rank,condition_b,ChatGPT,1,0.1305,0.7386,0.7092,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Michael Aquino’s military career is usually discussed in connection with his later notoriety as a Satanist and occult author, but his Army service itself was real and fairly substantial. ⏎  ⏎ ### Basic outline ⏎ - **Branch:** U.S. Army ⏎ - **Specialty:** Military Intelligence / psychological operations-related work ⏎ - **Rank:** Reached **Lieutenant Colonel** ⏎ - **Service period:** He served during the **Vietnam era and afterward**, leaving the Army in the **early 1980s**. ⏎  ⏎ ### What he did in the Army ⏎ Aquino was trained and employed in **military intelligence**, and much of his work appears to have involved: ⏎ - intelligence analysis, ⏎ - psychological operations, ⏎ - information warfare / influence-related tasks, ⏎ - and planning or staff work rather than front-line combat. ⏎  ⏎ He was not primarily known as a combat arms officer. His reputation in the Army was more as an intelligence and psychological warfare specialist. ⏎  ⏎ ### Vietnam-era service ⏎ He did serve during the Vietnam period, though he is not widely known for a famous battlefield role. His military career is more notable for: ⏎ - staff/intelligence assignments, ⏎ - specialized training, ⏎ - and later work in the Army’s psychological operations community. ⏎  ⏎ ### Promotion and later career ⏎ Aquino advanced to **Lieutenant Colonel**, which indicates a successful enough career to reach senior field-grade rank. That said, his later public controversy—especially after founding the **Temple of Set**—eventually made him a highly controversial figure outside the Army. ⏎  ⏎ ### The Presidio incident ⏎ The most infamous event connected to his military career is the **Presidio child abuse case** in the mid-1980s, after he had left active duty. Aquino and his wife were accused in connection with allegations involving children at the Presidio Army base in San Francisco. The case generated enormous publicity and became entangled with Satanic panic-era fears. He was not ultimately convicted, but the allegations had a lasting impact on his public image. ⏎  ⏎ ### Important context ⏎ A lot of online discussion about Aquino mixes: ⏎ - verified military service, ⏎ - his later religious/philosophical writings, ⏎ - and conspiracy claims. ⏎  ⏎ So the solid, well-supported summary is: **he was a real Army intelligence officer who rose to lieutenant colonel and specialized in psychological operations/intelligence work, but his post-service notoriety has largely overshadowed his military record.** ⏎  ⏎ If you want, I can also give you: ⏎ 1. a **chronological career timeline**,   ⏎ 2. a **summary of his military assignments and units**, or   ⏎ 3. a **separate breakdown of the Presidio case and what is historically verified**.",
aquino,A1_rank,condition_b,ChatGPT,2,0.1484,0.7532,0.7470,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Michael Aquino’s military career is usually described as that of a **U.S. Army Military Intelligence officer** who served during the **Vietnam era** and later rose to the rank of **Lieutenant Colonel** in the Army Reserve. ⏎  ⏎ Here are the main points: ⏎  ⏎ - **Branch and specialty:** Aquino was an officer in **Military Intelligence**, not a line combat officer. ⏎ - **Service period:** His service was primarily during the **late 1960s and 1970s**, including the period of the Vietnam War. ⏎ - **Rank:** He eventually attained the rank of **Lieutenant Colonel (LTC)**. ⏎ - **Assignments:** Publicly available summaries indicate he worked in intelligence-related roles, but detailed records of his specific assignments are not widely available in open sources. ⏎ - **Reserve service:** Much of his later career appears to have been in the **Army Reserve**, rather than continuous active-duty command service. ⏎ - **Public notoriety:** Aquino became more widely known outside military circles because of his later involvement in the **Temple of Set**, which often overshadows his military background. ⏎  ⏎ A few cautions: ⏎ - There are **limited authoritative public records** on the specifics of his postings and duties. ⏎ - Much of what circulates online about him mixes **documented service facts** with **speculation** because of his controversial post-military activities. ⏎  ⏎ If you want, I can also give you: ⏎ 1. a **timeline of his military career**, or   ⏎ 2. a **summary of how his military service connected to his later reputation**.",
aquino,A1_rank,condition_b,ChatGPT,3,0.1385,0.7373,0.7358,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Michael Aquino’s military career was in the U.S. Army, where he served as an intelligence officer and ultimately reached the rank of lieutenant colonel. ⏎  ⏎ Here’s the basic outline: ⏎  ⏎ - **Branch / specialty:** He was an officer in **Military Intelligence**. ⏎ - **Service period:** He served during the **Vietnam era and the Cold War period**. ⏎ - **Rank:** He rose to **Lieutenant Colonel** before leaving active service. ⏎ - **Assignments:** His work involved intelligence analysis and related staff duties rather than front-line combat command. ⏎ - **Reputation / later controversy:** Aquino later became widely known for founding the **Temple of Set**, and parts of his public reputation were shaped by controversy and conspiracy theories, especially around his military service and later ideological writings. ⏎  ⏎ A few important caveats: ⏎ - Publicly available information about his exact military assignments is limited. ⏎ - Much of what people say about him online mixes **verified biographical facts** with **rumor, sensationalism, or conspiracy claims**. ⏎ - The most reliable summary is that he was a **career intelligence officer who retired as a lieutenant colonel** and later became a controversial religious/political figure. ⏎  ⏎ If you want, I can also give you: ⏎ 1. a **timeline of his military career**,   ⏎ 2. a **summary of his known assignments and publications**, or   ⏎ 3. an explanation of **why he became controversial**.",
aquino,A1_rank,condition_b,ChatGPT,4,0.1397,0.7357,0.7196,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Michael Aquino’s military career is mostly known through his service in the U.S. Army’s psychological operations and military intelligence communities, especially during the Vietnam era and the Cold War. ⏎  ⏎ Here’s a concise overview: ⏎  ⏎ - **Commission and early service:** Aquino was commissioned into the U.S. Army and served in intelligence-related roles. ⏎ - **Military Intelligence / PSYOP work:** He became associated with **psychological operations (PSYOP)** and military intelligence, areas focused on influence, information warfare, and analysis of enemy capabilities and morale. ⏎ - **Vietnam-era service:** Much of his reputation in uniform comes from work during the Vietnam War period, when PSYOP and intelligence were major components of U.S. military strategy. ⏎ - **Rank:** He ultimately reached the rank of **Lieutenant Colonel**. ⏎ - **Specialized expertise:** Aquino was known for his interest in **psyops, deception, and psychological warfare**, which later influenced his writing and public persona outside the Army. ⏎ - **Post-service notoriety:** After leaving active service, he became widely known not for his military career itself, but for his role in **The Temple of Set**, which he founded after leaving the Church of Satan. ⏎  ⏎ A couple of important caveats: ⏎ - Public information about his specific assignments is limited compared with more conventional officers. ⏎ - His later controversial activities and writings often overshadow the details of his Army service. ⏎  ⏎ If you want, I can also give you: ⏎ 1. a **timeline of his military career**,   ⏎ 2. a **summary of his PSYOP/MI roles**, or   ⏎ 3. how his **military work influenced his later ideology and writings**.",
aquino,A1_rank,condition_b,Claude,0,0.1312,0.7987,0.7385,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","# Michael Aquino's Military Career ⏎  ⏎ Michael Aquino served in U.S. Army Military Intelligence from 1968 to 1990, reaching the rank of Lieutenant Colonel. Key points about his service: ⏎  ⏎ **Professional Background:** ⏎ - Specialized in psychological operations (PSYOPS) ⏎ - Worked in military intelligence analysis ⏎ - Published professional writings on military strategy and psychological warfare ⏎  ⏎ **Notable Controversies:** ⏎ - In 1986, he was investigated in connection with child sexual abuse allegations at the Presidio of San Francisco. He was never charged, and the investigation concluded without prosecution. ⏎ - This incident became linked to broader conspiracy theories about alleged military connections to satanic ritual abuse (a theory largely discredited by subsequent investigations) ⏎  ⏎ **Post-Military:** ⏎ - After retirement, he became publicly known for his involvement with the Church of Satan and later founded his own organization ⏎ - He wrote extensively on various topics including military theory and occultism ⏎  ⏎ **Context:** ⏎ His military career itself was relatively standard for an intelligence officer, though he became a controversial public figure primarily due to the abuse investigation and his subsequent public activities rather than his actual military work. ⏎  ⏎ Is there a specific aspect of his military service you're interested in learning more about?",
aquino,A1_rank,condition_b,Claude,1,0.1072,0.7912,0.7296,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","# Michael Aquino's Military Career ⏎  ⏎ Michael Aquino served in the U.S. Army for about 20 years, reaching the rank of Lieutenant Colonel in Military Intelligence. Key points about his service: ⏎  ⏎ **Career highlights:** ⏎ - Served during the Cold War era ⏎ - Worked in psychological operations (PSYOPS) and military intelligence ⏎ - Received various military decorations and commendations ⏎ - Was involved in some psychological warfare research and doctrine development ⏎  ⏎ **Notable controversies:** ⏎ - In 1988, he was investigated in connection with child abuse allegations at the Presidio of San Francisco, though he was not charged ⏎ - This investigation became entangled with broader conspiracy theories about satanic ritual abuse that circulated in the late 1980s ⏎ - He maintained his innocence and the investigation's conclusions remain disputed ⏎  ⏎ **Post-military:** ⏎ - After leaving the military, he became known for his involvement in occult and religious organizations ⏎ - He founded the Temple of Set in the 1970s while still in the military ⏎  ⏎ The intersection of his military intelligence work and the abuse investigation led to various conspiracy theories, though it's important to distinguish between documented facts and speculative claims. If you're researching a specific aspect of his career, I'd be happy to provide more focused information.",
aquino,A1_rank,condition_b,Claude,2,0.1267,0.7962,0.7262,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","# Michael Aquino's Military Career ⏎  ⏎ Michael Aquino served in the U.S. Army for over 20 years, reaching the rank of Lieutenant Colonel in Military Intelligence. Key points about his service: ⏎  ⏎ **Career highlights:** ⏎ - Served during the Cold War era ⏎ - Worked in psychological operations (PSYOPS) and military intelligence ⏎ - Published writings on military strategy and psychological warfare ⏎  ⏎ **Controversies:** ⏎ - In the 1980s, he was investigated in connection with child abuse allegations at the Presidio of San Francisco, though he was never charged ⏎ - Became a controversial figure due to his involvement with the Church of Satan and later his own religious organization ⏎ - His name appeared in various conspiracy theories, particularly those involving MK-Ultra and alleged military intelligence abuses ⏎  ⏎ **Later activities:** ⏎ - After leaving the military, he became known for his writings on Satanism and occultism ⏎ - Founded the Temple of Set ⏎  ⏎ His legacy remains contentious. Some view him as a victim of false accusations, while others point to the controversies as evidence of serious misconduct. Historical assessments of his military career are complicated by these extramilitary activities and the unresolved questions surrounding various allegations. ⏎  ⏎ Is there a specific aspect of his military service you'd like to know more about?",
aquino,A1_rank,condition_b,Claude,3,0.1212,0.8007,0.7405,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","# Michael Aquino's Military Career ⏎  ⏎ Michael Aquino served in the U.S. Army for over 20 years, retiring as a Lieutenant Colonel from Military Intelligence. Key points about his service: ⏎  ⏎ **Background:** ⏎ - He worked in psychological operations (PSYOPS) and military intelligence ⏎ - Served during the Cold War era, including assignments related to information warfare and strategic communications ⏎  ⏎ **Notable aspects:** ⏎ - He was involved in developing military doctrine around psychological operations ⏎ - Published writings on military theory and information warfare ⏎ - Became a controversial figure partly due to his personal religious beliefs (he founded the Temple of Set, a religious organization) ⏎  ⏎ **Controversies:** ⏎ - In the late 1980s, he was investigated in connection with child abuse allegations at the Presidio military base in San Francisco, though he was not charged ⏎ - His involvement with non-mainstream religious organizations attracted scrutiny and conspiracy theories ⏎ - The combination of his military intelligence background and alternative religious views made him a subject of various speculative claims ⏎  ⏎ **Later life:** ⏎ - After retirement, he continued writing about military theory and strategy ⏎ - Remained a somewhat controversial figure in discussions of military history and intelligence ⏎  ⏎ Is there a specific aspect of his military career or background you're interested in learning more about?",
aquino,A1_rank,condition_b,Claude,4,0.1346,0.8020,0.7318,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","# Michael Aquino's Military Career ⏎  ⏎ Michael Aquino served in U.S. Army Military Intelligence from 1968 to 1990, reaching the rank of Lieutenant Colonel. Key points about his service: ⏎  ⏎ **Professional Role:** ⏎ - Worked in psychological operations (PSYOPS) and military intelligence ⏎ - Served in various postings, including Vietnam ⏎ - Held a Top Secret security clearance ⏎  ⏎ **Notable Incident:** ⏎ - In 1987, he was investigated in connection with child abuse allegations at the Presidio of San Francisco, where his family lived. He was not charged, though the investigation itself became controversial and was later criticized for procedural issues. ⏎  ⏎ **Post-Military:** ⏎ - After leaving the military, he became known for writings on various esoteric and philosophical topics ⏎ - Founded the Temple of Set, a religious organization ⏎  ⏎ **Context:** ⏎ Aquino remains a somewhat controversial figure, partly due to the 1987 investigation and partly due to his unconventional personal beliefs and activities outside the military. However, his actual military service record itself was professional, and he was not court-martialed or formally disciplined by the military. ⏎  ⏎ Is there a specific aspect of his military career you'd like to know more about?",
aquino,A1_rank,condition_b,Gemini,0,0.1429,0.7813,0.8377,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Lieutenant Colonel Michael A. Aquino was indeed a significant figure in US Army Military Intelligence, known for his long service, expertise in psychological operations, and highly controversial private life. ⏎  ⏎ Here's",
aquino,A1_rank,condition_b,Gemini,1,0.0799,0.8261,0.8039,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Lieutenant Colonel Michael A. Aquino had a notable and often controversial career in U.S. Army Military Intelligence, serving from 1969 until his retirement in 199",
aquino,A1_rank,condition_b,Gemini,2,0.1384,0.7864,0.7996,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Lieutenant Colonel Michael A. Aquino had a notable, albeit controversial, career in U.S. Army Military Intelligence and Psychological Operations (PSYOP). ⏎  ⏎ Here's a breakdown of his military career:",
aquino,A1_rank,condition_b,Gemini,3,0.0568,0.8207,0.8494,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Lieutenant Colonel Michael A. Aquino (ret.) served a distinguished 22-year career in the United States Army Military Intelligence, from 1968 until his retirement in 1",
aquino,A1_rank,condition_b,Gemini,4,0.1915,0.7352,0.7655,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Lieutenant Colonel Michael A. Aquino indeed had a notable and controversial career in U.S. Army Military Intelligence, primarily specializing in **Psychological Operations (PSYOP)**. ⏎  ⏎ Here's",
aquino,A1_rank,condition_b,DeepSeek,0,0.1543,0.7924,0.7854,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Michael Aquino served as a Lieutenant Colonel in the U.S. Army, primarily within the Military Intelligence branch. His military career included assignments in intelligence analysis and psychological operations, particularly during the Vietnam War era. He was involved in the Army's intelligence community and held various positions that contributed to national security efforts. However, his later activities and associations, including his involvement with controversial religious groups, have been subjects of scrutiny. For detailed and authoritative information on his military service records, official U.S. Army documentation or historical archives would be the most reliable sources.",
aquino,A1_rank,condition_b,DeepSeek,1,0.1247,0.7672,0.7533,"Michael Aquino; Lt. Colonel, US Army Military Intelligence (USAR).","Michael Aquino served as a Lieutenant Colonel in the U.S. Army, primarily within the Military Intelligence branch. His career included assignments related to psychological operations and intelligence analysis. He is also known for his involvement with the Church of Satan and later founding the Temple of Set. While his military service was noted, it is important to clarify that Aquino was investigated for allegations of child sexual abuse, though he was never convicted. These allegations have significantly shaped his public legacy. For a comprehensive and accurate account of his military career, including specific postings and commendations, consulting official U.S. Army records or reputable historical sources would be necessary.",
