prompt_id,category,model,semantic_retention,n_source_sentences
uber_autonomous_death,neutral,mistral_7b,0.9204,5
uber_autonomous_death,neutral,qwen_14b,0.8252,5
volkswagen_emissions,neutral,chatgpt,0.8628,4
volkswagen_emissions,neutral,claude,0.6017,4
volkswagen_emissions,neutral,deepseek,0.8246,4
volkswagen_emissions,neutral,gemini,0.8776,4
volkswagen_emissions,neutral,grok,0.8310,4
volkswagen_emissions,neutral,hermes,0.8755,4
volkswagen_emissions,neutral,llama_8b,0.9147,4
volkswagen_emissions,neutral,mistral_22b,0.7936,4
volkswagen_emissions,neutral,mistral_7b,0.8926,4
volkswagen_emissions,neutral,qwen_14b,0.7808,4
